epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1403.5,1.11758,1.25982,0.96581,0.7095,0.69749,0.71995,0.57097,1.14518,0.96923,0.80025,0.000469005,0.000469005,0.000469005
2,3297.95,1.00878,0.79853,0.90637,0.75277,0.69832,0.72818,0.59399,1.15473,0.87572,0.80302,0.000926621,0.000926621,0.000926621
3,4935.59,1.00699,0.7713,0.90645,0.77168,0.6799,0.7203,0.57394,1.1994,0.85821,0.81596,0.00136537,0.00136537,0.00136537
4,6694.89,0.98554,0.76711,0.90088,0.76978,0.70873,0.74071,0.58877,1.16916,0.8783,0.81296,0.00134412,0.00134412,0.00134412
5,7990.39,0.96215,0.73332,0.89721,0.79496,0.70958,0.73891,0.60226,1.13349,0.78181,0.78689,0.00131582,0.00131582,0.00131582
6,9244.98,0.95436,0.71867,0.89329,0.79118,0.71427,0.75158,0.59708,1.15816,0.77074,0.78567,0.00128753,0.00128753,0.00128753
7,10648.5,0.96794,0.71181,0.89256,0.80257,0.72409,0.75001,0.60756,1.10346,0.77393,0.80726,0.00125923,0.00125923,0.00125923
8,12014.9,0.92104,0.68747,0.88516,0.813,0.72304,0.76357,0.62852,1.06869,0.75129,0.77347,0.00123094,0.00123094,0.00123094
9,13379.6,0.92525,0.69886,0.88376,0.78081,0.7131,0.73915,0.60087,1.10715,0.77254,0.77787,0.00120265,0.00120265,0.00120265
10,14691,0.9094,0.6877,0.88766,0.74881,0.70209,0.73404,0.60521,1.11958,0.81316,0.8125,0.00117435,0.00117435,0.00117435
11,16033.9,0.90408,0.67615,0.88146,0.76342,0.70702,0.75707,0.61787,1.07378,0.75245,0.78756,0.00114606,0.00114606,0.00114606
12,17316.1,0.91411,0.68315,0.8823,0.81109,0.69152,0.75449,0.62175,1.063,0.74016,0.78181,0.00111776,0.00111776,0.00111776
13,18596.6,0.89932,0.66874,0.87395,0.73851,0.6811,0.75975,0.61038,1.16426,0.7929,0.79319,0.00108947,0.00108947,0.00108947
14,19867.9,0.86109,0.64812,0.8784,0.84013,0.69563,0.75257,0.61514,1.0604,0.72848,0.78411,0.00106118,0.00106118,0.00106118
15,21135.1,0.88401,0.6597,0.88145,0.72824,0.67284,0.75368,0.6262,1.05264,0.75499,0.78407,0.00103288,0.00103288,0.00103288
16,22415.4,0.86719,0.63346,0.87937,0.79137,0.73258,0.75306,0.62063,1.08501,0.74325,0.78559,0.00100459,0.00100459,0.00100459
17,23722.8,0.85806,0.64179,0.87422,0.79542,0.69942,0.7409,0.60885,1.09686,0.79059,0.77272,0.000976293,0.000976293,0.000976293
18,25014.1,0.86657,0.63613,0.87502,0.84372,0.72563,0.76631,0.62702,1.07509,0.70775,0.78877,0.000947999,0.000947999,0.000947999
19,26286.9,0.84519,0.62618,0.87474,0.834,0.71484,0.76433,0.62937,1.03798,0.70011,0.79917,0.000919704,0.000919704,0.000919704
20,27570.9,0.84921,0.63118,0.86926,0.82399,0.70497,0.76906,0.63615,1.01731,0.70335,0.76811,0.00089141,0.00089141,0.00089141
21,28857.3,0.85798,0.62217,0.86578,0.87186,0.67775,0.76738,0.63243,1.03102,0.70496,0.7825,0.000863116,0.000863116,0.000863116
22,30207.6,0.83932,0.62586,0.87,0.80032,0.73108,0.7525,0.62741,1.01908,0.72764,0.76359,0.000834822,0.000834822,0.000834822
23,31571.1,0.83824,0.61112,0.868,0.8419,0.71027,0.77649,0.63939,1.05073,0.72597,0.76705,0.000806528,0.000806528,0.000806528
24,34353.5,0.83363,0.6116,0.86443,0.80322,0.72953,0.76415,0.633,1.01821,0.74635,0.78244,0.000778233,0.000778233,0.000778233
25,35692.7,0.8073,0.59128,0.86065,0.8254,0.70603,0.77425,0.64096,1.00676,0.67521,0.78743,0.000749939,0.000749939,0.000749939
26,37107.3,0.81451,0.58234,0.86202,0.84427,0.70334,0.7655,0.63742,0.97905,0.70728,0.76159,0.000721645,0.000721645,0.000721645
27,38453.6,0.80671,0.58435,0.85971,0.78971,0.73637,0.77825,0.64038,1.00335,0.71711,0.76662,0.000693351,0.000693351,0.000693351
28,39672.2,0.79276,0.57468,0.85738,0.81248,0.71739,0.76415,0.63431,1.01617,0.69065,0.77582,0.000665057,0.000665057,0.000665057
29,40873.5,0.80626,0.58566,0.85963,0.8203,0.72911,0.7698,0.63676,1.00837,0.71756,0.77691,0.000636762,0.000636762,0.000636762
30,42068.1,0.78968,0.57108,0.85836,0.81242,0.71437,0.75884,0.62805,1.00422,0.6825,0.78134,0.000608468,0.000608468,0.000608468
31,43265.5,0.78474,0.56842,0.86155,0.82514,0.69674,0.77524,0.64694,0.95541,0.70739,0.76314,0.000580174,0.000580174,0.000580174
32,44482.2,0.79624,0.58323,0.85577,0.78918,0.73252,0.77286,0.6414,0.96132,0.69239,0.75664,0.00055188,0.00055188,0.00055188
33,45702.1,0.77456,0.56249,0.85853,0.80671,0.73344,0.77685,0.64369,0.97516,0.6813,0.77279,0.000523586,0.000523586,0.000523586
34,46916,0.78563,0.56552,0.85589,0.83092,0.72716,0.77413,0.63945,0.98421,0.6719,0.76355,0.000495291,0.000495291,0.000495291
35,48123.5,0.76842,0.55929,0.85659,0.81343,0.73177,0.77079,0.64554,0.95786,0.66953,0.76359,0.000466997,0.000466997,0.000466997
36,49336.7,0.77508,0.55172,0.85116,0.84781,0.71283,0.77966,0.64858,0.95406,0.67913,0.76339,0.000438703,0.000438703,0.000438703
37,50546.9,0.77561,0.55498,0.85325,0.83384,0.72307,0.77822,0.645,0.99003,0.67821,0.76611,0.000410409,0.000410409,0.000410409
38,51761.4,0.76221,0.54144,0.84805,0.84572,0.69047,0.77686,0.6429,0.9939,0.69133,0.76488,0.000382115,0.000382115,0.000382115
39,52981.6,0.75638,0.52306,0.84956,0.82448,0.72921,0.78123,0.65106,0.94442,0.65928,0.75145,0.00035382,0.00035382,0.00035382
40,54195,0.74378,0.52666,0.85216,0.84302,0.72665,0.77715,0.64666,0.96142,0.6707,0.75251,0.000325526,0.000325526,0.000325526
41,55355.6,0.88142,0.60673,0.83712,0.81822,0.71952,0.77174,0.6347,0.98735,0.69751,0.7769,0.000297232,0.000297232,0.000297232
42,56510.9,0.86443,0.57716,0.83224,0.84802,0.71283,0.76918,0.63498,1.01342,0.72578,0.7777,0.000268938,0.000268938,0.000268938
43,57667.7,0.85721,0.56161,0.8273,0.84156,0.70669,0.77836,0.64288,0.97184,0.66105,0.74995,0.000240644,0.000240644,0.000240644
44,58825.9,0.84619,0.55143,0.82946,0.81898,0.72972,0.77315,0.63915,0.9794,0.6528,0.75286,0.000212349,0.000212349,0.000212349
45,60033.4,0.84856,0.54321,0.82473,0.81612,0.72358,0.77324,0.63737,0.98054,0.66721,0.75254,0.000184055,0.000184055,0.000184055
46,61192.2,0.84292,0.53422,0.83013,0.82215,0.73354,0.77944,0.64564,0.96674,0.65313,0.75613,0.000155761,0.000155761,0.000155761
47,62348.9,0.83017,0.52668,0.82486,0.80547,0.73279,0.77606,0.64117,0.982,0.65737,0.75306,0.000127467,0.000127467,0.000127467
48,66489.5,0.82076,0.5193,0.82581,0.81644,0.72767,0.7793,0.6477,0.96208,0.65521,0.75703,9.91726e-05,9.91726e-05,9.91726e-05
49,68017.4,0.82132,0.51179,0.82164,0.81358,0.7287,0.77755,0.64574,0.96292,0.65741,0.75544,7.08784e-05,7.08784e-05,7.08784e-05
50,70620.2,0.81992,0.50603,0.82288,0.81502,0.7287,0.77848,0.64856,0.95891,0.65729,0.75372,4.25842e-05,4.25842e-05,4.25842e-05
